,answer,keywords
3017,a mouse,Dumbo Type animal rodent lisa narnia tale Boots Apple Despereaux computer Puss Common Douglas Engelbart Roared Saved West Grand Fenwick Lawson Benjamin Franklin Amos Timothy House Jeopardy Reepicheep Murine child creature device tiny tail cell equal inch scientist ogre turned
2742,a mushroom,Minnesota Latin type fungus state morel food french Slime Ancient Romans Named Wonderland Champignon Collective Basidiomycetes Chinese Oregon poisonous white word edible portobello stem variety spot obilized cover acre fact red-orange undersurface plant yummy prized shaggy mane toadstool kind official
4770,a panda,National animal park World smithsonian Asian Mama Aug. China giant Goldfish Pagoda Ocean Hong Steven Beijing Yingying Awwww Wildlife Fund Watching home mascot bear file give raccoon celebrated birthday oldest olympic famous amusement pair kingdom thumb enlarged wrist bone strip
4389,a parachute,Louis french Capt Albert Berry Vinci Army School Gleb Kotelnikov invention silk Jump plane fall long knapsack device life saved canopy successfully designed fall-breakers derivation safely prepare transportation wearing horse strapped upper downer item master depend part word Raindrops Lieutenant
4877,a parrot,bird African Natl Division Alex Bawck Show monty python animal word made grey Polynesia Doctor type beak member good love Persian Pekingese George Psittacosaurus Unlike Norwegian Dolittle cockatiel british cool critter dusty royalty parrot allowed breakfast table dinosaur lizard strong
3530,a passage to india,Forster lean Caves Aziz Marabar Chandrapore david English work Adela Quested film literature Peggy Ashcroft city Syed Ross woman Oscar actress oldest british dedicated present Mrs. Moore India line extraordinary Dame Mosque Temple Calcutta Victor Banerjee Supporting Mahood wrongly accuses
2469,a pearl,June gem oyster Tennessee birthstones type shell clam pink jewel giant Palau ocean cultured parasite formed stuff found Matthew Kingdom Heaven Classy California Steinbeck Vermeer Rainbow weighing diver coinage largest specimen color range black white depending mollusk environment button variety
2820,a penguin,bird emperor Antarctic animal Named Welsh type tall specie foot explorer blue christmas symbol King coast white head variety smallest story company mascot April Jules Dumont Adelie Pachydyptes Zealand Mumble Happy Feet Pittsburgh Berkeley Breathed Opus Linux America Magellan George
3741,a penny,Simon Sept. Heywood Volume William Numismatics Benjamin Rowland California york hill good luck time sold copper John Dockwra London Philadelphia dating money price letter coin left century subscriber communication pure changed fame allowing made zinc minted American current president nursery
4414,a piano,instrument brahms musical Steinway key part wrong Typically Hammers grand ivory pedal lied Player Meade Lewis Clara Schumann Frankfurt Hoch Conservatory Thelonious Monk United States vocalist guinness upright common addition string weighs pound century arranged accompanist note record constructed ton
2108,a pig,animal Olivia Saves Circus food chinese farm book porcine word beastly spider young Joseph Austria Serbia Ronald Reagan Esperanto Star Mario Batali Davy Crockett Lupine Charlotte Wilbur Schweinknochel German Poland Venice Babe Band Proverbs Philippines Leidy Trichina history zodiac year
3590,a polar bear,animal bear Arctic White mammal mile Winnipeg ursine seal specie blanco land carnivore Thick Ursus Circle Inuit Nanuk People Spaniard Spanish-speaking Eskimo Guinness Debby Klondike Ringed Beluga Diego Beneath polar oldest weigh pound prey inch heat fish layer blubber northernmost
5081,a porcupine,rodent quill crested inch largest foot long specie length average type thorn Africa Eurasian National Geographic Cape Hamlet Latin pound mammal pig called variety reach equal half body porky approach closely category nature fisher weasel avoids attacking face flipping back
4703,a preposition,part speech roof sentence quote left Berton Braley Churchill Drop Jesus Alex Trebek Super Bowl contradicted word call rule ending nonsense put fire dict abbrev prep hodgepodge check C-Dub desk golf tourney success trampling incident questionable grammar lyric found preferred
4349,a pyramid,Egypt structure base great solid triangle shape common vertex Visitors Mexico Kingdom Geometrically Khufu Giza Seal Scheme largest side face mathematics plane acre lasted record foot block government approved call louvre enter museum find cover equation volume equal time height
2693,a rabbit,animal Beagle National creature Georgia Jimmy Wallace prey Volkswagen David Copperfield Fatal Attraction Glenn Close Club Carter Gromit Brit type Sylvilagus logo show giant potpourri relative similarity garden playboy appropriately ovulation computer named familiar phrase accomplish impossible pull hat movie
3201,a rainbow,Noah Iris Earth sign tune phenomenon colorful water Aristotle Bifrost William Wordsworth James Baldwin Utah John Constable Salisbury Cathedral Meadows Zeus Judaism science formed bridge symbol time message blessing poet vision droplet round shoulder blue taught rain reflecting ray norse
5025,a raisin in the sun,Hansberry Lorraine play Sidney Poitier drama Younger Broadway family Raisin Langston Hughes musical version black title deferred neighborhood Chicago African Clybourne Park Dried Grape Catching Rays Walter Ruby Ruth film african-american co-starred hit insurance cast woman produced vault inspiration playwright
4863,a roller coaster,Park Kings Dominion ride theme Ohio Virginia Mine world highest Cedar Point Flags thrill Shockwave Roller Stratosphere Silver Star Europa Germany Random House Dollywood Mystery Island Beast Jersey type careen steel longest fastest transportation travel steepest vehicle vega amusement billed
5058,a room with a view,Forster Lucy Italy Honeychurch title Florence room Part Pensione Bertolini book literary George hotel chapter object place english Arno vacation Miss Bartlett Virginia Woolf Vistas Cecil Habitación complains window overlook line signora business promised south fact straight feminist essay work
2637,a rose,flower Yellow Shakespeare variety hip time famous hybrid opera love Japanese Romeo Juliet Richard Strauss Harison Persian Scotch Briar Gertrude Stein smell sweet Pasadena wrote bloom county type introduced fleshy receptacle called nature grown ancient foliage fragrance potpourri peace gardening
2968,a seal,mammal animal type specie aquatic Weddell midway crabeater krill James nature underwater hooded water breed variety horseman sleep Greenland Fasten Hawaiian Alaska Pribilof Islands California Cape South Africa Harp Lobodon Maine Andre Unlike science minute explorer inch long opened apocalypse
3930,a shark,fish type variety long Hawaii Darden Dylan thresher tail critter nurse word shakespeare tiger animal Sumatra Basking Greenland James Bond Calvin Denis Leary Soul Surfer Bethany Hamilton tank zoology elephant foot a-half hero movie chomped driving whale weigh rest body
2062,a skunk,Mephitis mammal animal spray tomato foot juice accurately call variety musk white western foul-smelling mink smell remedy stump critter specie horrible spotted handstand enemy stinker Bambi Flower Black Collier Cajun Jovan Plastered Algonquian Indonesia cartoon liquid dictionary minute identifiable friend
3472,a sloth,mammal animal American South type arboreal slow slow-moving tree specie faster unau creature variety three-toed foot Middle English Hoffmann Trichophilus zoology crossword toe head degree called move shake word origin wildlife helper laziness debatable lazy stand hanging disturbed lash night
2275,a snake,Holmes Speckled Band Type Dickinson Moses reptile bird shape Sherlock fellow grass animal creature zulu narrow monkey Insert Sagittarius Nehustan Israelites Janell Cannon Verdi Emily title drain plumber clear poetry secretary spirit figure book tree janitor egg flying chilling wirepuller
3849,a sonnet,poem Italian Shakespeare Petrarchan line literary type Elizabeth Giacomo form wrote poetry Romeo Juliet Farewell Thou Sidney Astrophel Stella Lentini Laura Changing English Thomas Wyatt Henry Howard Michael Drayton Kiss Part score ball stanza clue word begin browning middle introduced
3544,a spider,African world Charlotte Anansi West insect brown animal trickster type creature Book stupid succeed myth form Muffet beastly answer bug spider grasshopper mythical menagerie traveled string male redback size happy business variety arthropod fang poison ambush encyclopedia recluse violin-shaped mark
